// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> Hinata
<0003> Hinata

//<0004> 男B
<0004> 男B

//<0005> エロエロ団総帥
<0005> エロエロ団総帥

//<0006> イケチン
<0006> イケチン

//<0007> ホモ太
<0007> ホモ太

//<0008> ひなチン
<0008> ひなチン

//<0009> 秀樹
<0009> 秀樹

//<0010> 男子生徒
<0010> 男子生徒

//<0011> ？？
<0011> ？？

//<0012> 「起きろよ,Otonashi.おはよーの時間だぞ」
<0012> 「Wake up Otonashi. It's time to say good morning already.」

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> Hinataが俺を覗き込んでいた.
<0018> Hinata was staring at me from above.

//<0019> Otonashi
<0019> Otonashi

//<0020> クソ坊主
<0020> クソ坊主

//<0021> 代理人
<0021> 代理人

//<0022> 微妙すぎるイケメン
<0022> 微妙すぎるイケメン

//<0023> ロリコン
<0023> ロリコン

//<0024> メガネ仲間
<0024> メガネ仲間

//<0025> 暗算日本記録保持者
<0025> 暗算日本記録保持者

//<0026> 通り魔
<0026> 通り魔

//<0027> 記憶ナシ男
<0027> 記憶ナシ男

//<0028> 音速
<0028> 音速

//<0029> 無限
<0029> 無限

//<0030> エロ侍
<0030> エロ侍

//<0031> エロエロ団ナンバー１
<0031> エロエロ団ナンバー１

//<0032> ただのエロ少年
<0032> ただのエロ少年

//<0033> ユリブサイク
<0033> ユリブサイク

//<0034> ドピュッシー
<0034> ドピュッシー

//<0035> アメリカンエロドッグ
<0035> アメリカンエロドッグ

//<0036> ゼウス
<0036> ゼウス

//<0037> HinatamarkⅡ
<0037> HinatamarkⅡ

//<0038> 糞虫
<0038> 糞虫

//<0039> 量産型Hinata
<0039> 量産型Hinata

//<0040> ？？
<0040> ？？

//<0041> 「ん…朝か…おはよ…」
<0041> 「Ugh… Is it morning already…? Good morning…」

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> 俺は正直,まだこの悪夢が続いていることに辟易した.
<0048> To be honest, I was fed up with the fact that this nightmare was still going on.

//<0049> 次起きた時は,記憶もちゃんとあって,自分の暮らすべき場所で目覚めると期待していたからだ.
<0049> I was hoping that I would wake up where I usually wake up, along with all my memories.

//<0050> しかし,そんなことはなかった.
<0050> But, that wasn't the case.

//<0051> 寝る前と何ひとつ変わらない,馴染みのない寮の部屋とルームメイト.
<0051> Not a single thing changed from before I fell asleep. I was in an unfamiliar dorm room with an unfamiliar roommate.

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> Hinata
<0057> Hinata

//<0058> 男B
<0058> 男B

//<0059> エロエロ団総帥
<0059> エロエロ団総帥

//<0060> イケチン
<0060> イケチン

//<0061> ホモ太
<0061> ホモ太

//<0062> ひなチン
<0062> ひなチン

//<0063> 秀樹
<0063> 秀樹

//<0064> 男子生徒
<0064> 男子生徒

//<0065> ？？
<0065> ？？

//<0066> 「怪我の具合は?」
<0066> 「How are your wounds?」

//<0067> ひとしきり,体を動かしてみるが,問題はない.
<0067> I tried moving my body, but there were no problems.

//<0068> Otonashi
<0068> Otonashi

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> HinatamarkⅡ
<0086> HinatamarkⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型Hinata
<0088> 量産型Hinata

//<0089> ？？
<0089> ？？

//<0090> 「ああ…平気だ」
<0090> 「Yeah… I'm fine.」

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> Hinata
<0096> Hinata

//<0097> 男B
<0097> 男B

//<0098> エロエロ団総帥
<0098> エロエロ団総帥

//<0099> イケチン
<0099> イケチン

//<0100> ホモ太
<0100> ホモ太

//<0101> ひなチン
<0101> ひなチン

//<0102> 秀樹
<0102> 秀樹

//<0103> 男子生徒
<0103> 男子生徒

//<0104> ？？
<0104> ？？

//<0105> 「だろ?」
<0105> 「See?」

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> Hinata
<0111> Hinata

//<0112> 男B
<0112> 男B

//<0113> エロエロ団総帥
<0113> エロエロ団総帥

//<0114> イケチン
<0114> イケチン

//<0115> ホモ太
<0115> ホモ太

//<0116> ひなチン
<0116> ひなチン

//<0117> 秀樹
<0117> 秀樹

//<0118> 男子生徒
<0118> 男子生徒

//<0119> ？？
<0119> ？？

//<0120> 「ほら顔洗って着替えて用意しろ」
<0120> 「Then wash up and change.」

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

